depth,fiber,borehole
-0.03921568627450256,1234,
4.045098039215702,1235,
8.129411764705893,1236,
12.213725490196083,1237,
16.298039215686288,1238,
20.382352941176478,1239,
24.466666666666683,1240,
28.550980392156873,1241,
32.63529411764707,1242,
36.71960784313727,1243,
40.80392156862746,1244,
44.888235294117656,1245,
48.972549019607854,1246,
53.056862745098044,1247,
57.14117647058824,1248,
61.22549019607844,1249,
65.30980392156863,1250,
69.39411764705883,1251,
73.47843137254903,1252,
77.56274509803922,1253,
81.64705882352942,1254,
85.73137254901961,1255,
89.81568627450982,1256,
93.9,1257,MDSA1
97.9843137254902,1258,
102.0686274509804,1259,
106.15294117647059,1260,
110.2372549019608,1261,
114.32156862745099,1262,
118.40588235294118,1263,
122.49019607843138,1264,
126.57450980392157,1265,
130.65882352941176,1266,
134.74313725490197,1267,
138.82745098039214,1268,
142.91176470588235,1269,
146.99607843137255,1270,
151.08039215686273,1271,
155.16470588235293,1272,
159.24901960784314,1273,
163.33333333333331,1274,
167.41764705882355,1275,
171.50196078431372,1276,
175.58627450980393,1277,
179.67058823529413,1278,
183.7549019607843,1279,
187.8392156862745,1280,
191.92352941176472,1281,
196.0078431372549,1282,
200.0921568627451,1283,
204.1764705882353,1284,
208.26078431372548,1285,
212.34509803921569,1286,
216.4294117647059,1287,
220.51372549019607,1288,
224.59803921568627,1289,
228.68235294117648,1290,
232.76666666666665,1291,
236.85098039215686,1292,
240.93529411764706,1293,
245.01960784313724,1294,
249.10392156862744,1295,
253.18823529411765,1296,
257.2725490196078,1297,
261.35686274509806,1298,
265.44117647058823,1299,
269.5254901960784,1300,
273.60980392156864,1301,
277.6941176470588,1302,
281.778431372549,1303,
285.8627450980392,1304,
289.9470588235294,1305,
294.0313725490196,1306,
298.1156862745098,1307,
302.2,1308,MDSA2
306.28181818181815,1309,
310.3636363636364,1310,
314.44545454545454,1311,
318.5272727272727,1312,
322.6090909090909,1313,
326.6909090909091,1314,
330.77272727272725,1315,
334.8545454545455,1316,
338.93636363636364,1317,
343.0181818181818,1318,
347.1,1319,
351.1818181818182,1320,
355.26363636363635,1321,
359.3454545454545,1322,
363.42727272727274,1323,
367.5090909090909,1324,
371.59090909090907,1325,
375.67272727272723,1326,
379.75454545454545,1327,
383.8363636363636,1328,
387.9181818181818,1329,
392.0,1330,MDSA3
396.084,1331,
400.168,1332,
404.252,1333,
408.336,1334,
412.42,1335,
416.504,1336,
420.588,1337,
424.672,1338,
428.75600000000003,1339,
432.84000000000003,1340,
436.924,1341,
441.00800000000004,1342,
445.092,1343,
449.176,1344,
453.26,1345,
457.344,1346,
461.428,1347,
465.512,1348,
469.596,1349,
473.68,1350,
477.764,1351,
481.848,1352,
485.932,1353,
490.016,1354,
494.1,1355,MDSA4
498.1857142857143,1356,
502.2714285714286,1357,
506.3571428571429,1358,
510.4428571428572,1359,
514.5285714285715,1360,
518.6142857142858,1361,
522.7,1362,
526.7857142857143,1363,
530.8714285714286,1364,
534.9571428571429,1365,
539.0428571428572,1366,
543.1285714285715,1367,
547.2142857142858,1368,
551.3000000000001,1369,
555.3857142857144,1370,
559.4714285714285,1371,
563.5571428571429,1372,
567.6428571428571,1373,
571.7285714285714,1374,
575.8142857142857,1375,
579.9,1376,
583.9857142857143,1377,
588.0714285714286,1378,
592.1571428571428,1379,
596.2428571428571,1380,
600.3285714285714,1381,
604.4142857142857,1382,
608.5,1383,
612.5857142857143,1384,
616.6714285714286,1385,
620.7571428571429,1386,
624.8428571428572,1387,
628.9285714285714,1388,
633.0142857142857,1389,
637.1,1390,MDSA5
641.1857142857143,1391,
645.2714285714286,1392,
649.3571428571429,1393,
653.4428571428572,1394,
657.5285714285715,1395,
661.6142857142858,1396,
665.7,1397,
669.7857142857143,1398,
673.8714285714286,1399,
677.9571428571428,1400,
682.0428571428572,1401,
686.1285714285714,1402,
690.2142857142858,1403,
694.3,1404,
